"","ostreatus1 Last (mV)","ostreatus2 Last (mV)","pleurotus1 Last (mV)","pleurotus2 Last (mV)"
"1674655419.724","10.94","-8.43","14.27","13.00"
"1674655419.784","10.94","-8.42","14.27","13.00"
"1674655419.844","10.94","-8.41","14.26","13.00"
"1674655419.904","10.94","-8.40","14.26","13.00"
"1674655419.964","10.94","-8.40","14.26","13.00"
"1674655420.024","10.93","-8.39","14.26","12.99"
"1674655420.084","10.93","-8.38","14.26","12.99"
"1674655420.144","10.93","-8.37","14.26","12.99"
"1674655420.204","10.93","-8.36","14.26","12.99"
"1674655420.264","10.93","-8.35","14.26","12.98"
"1674655420.324","10.93","-8.34","14.25","12.98"
"1674655420.384","10.93","-8.34","14.25","12.98"
"1674655420.444","10.93","-8.33","14.25","12.97"
"1674655420.504","10.93","-8.32","14.25","12.97"
"1674655420.564","10.92","-8.31","14.25","12.97"
"1674655420.624","10.92","-8.30","14.25","12.96"
"1674655420.684","10.92","-8.29","14.25","12.96"
"1674655420.744","10.92","-8.28","14.25","12.96"
"1674655420.804","10.92","-8.27","14.24","12.95"
"1674655420.864","10.92","-8.27","14.24","12.95"
"1674655420.924","10.92","-8.26","14.24","12.95"
"1674655420.984","10.92","-8.25","14.24","12.94"
"1674655421.044","10.91","-8.24","14.24","12.94"
"1674655421.104","10.91","-8.23","14.24","12.93"
"1674655421.164","10.91","-8.22","14.24","12.93"
"1674655421.224","10.91","-8.21","14.23","12.93"
"1674655421.284","10.91","-8.20","14.23","12.92"
"1674655421.344","10.91","-8.19","14.23","12.92"
"1674655421.404","10.91","-8.19","14.23","12.91"
"1674655421.464","10.91","-8.18","14.23","12.91"
"1674655421.524","10.91","-8.17","14.23","12.91"
"1674655421.584","10.90","-8.13","14.22","12.89"
"1674655421.644","10.90","-8.12","14.22","12.89"
"1674655421.704","10.90","-8.11","14.22","12.88"
"1674655421.764","10.90","-8.11","14.22","12.88"
"1674655421.824","10.90","-8.10","14.22","12.88"
"1674655421.884","10.90","-8.09","14.21","12.87"
"1674655421.944","10.90","-8.08","14.21","12.87"
"1674655422.004","10.89","-8.07","14.21","12.87"
"1674655422.064","10.89","-8.06","14.21","12.86"
"1674655422.124","10.89","-8.05","14.21","12.86"
"1674655422.184","10.89","-8.04","14.21","12.86"
"1674655422.244","10.89","-8.03","14.20","12.86"
"1674655422.304","10.89","-8.03","14.20","12.86"
"1674655422.364","10.89","-8.02","14.20","12.85"
"1674655422.424","10.89","-8.01","14.20","12.85"
"1674655422.484","10.89","-8.00","14.20","12.85"
"1674655422.544","10.88","-7.99","14.20","12.85"
"1674655422.604","10.88","-7.98","14.19","12.85"
"1674655422.664","10.88","-7.98","14.19","12.84"
"1674655422.724","10.88","-7.97","14.19","12.84"
"1674655422.784","10.88","-7.96","14.19","12.84"
"1674655422.844","10.88","-7.96","14.19","12.84"
"1674655422.904","10.88","-7.95","14.19","12.84"
"1674655422.964","10.88","-7.94","14.19","12.84"
"1674655423.024","10.88","-7.93","14.18","12.83"
"1674655423.084","10.88","-7.92","14.18","12.83"
"1674655423.144","10.87","-7.92","14.18","12.83"
"1674655423.204","10.87","-7.91","14.18","12.83"
"1674655423.264","10.87","-7.90","14.18","12.83"
"1674655423.324","10.87","-7.89","14.18","12.82"
"1674655423.384","10.87","-7.88","14.18","12.82"
"1674655423.444","10.87","-7.87","14.17","12.82"
"1674655423.504","10.87","-7.86","14.17","12.82"
"1674655423.564","10.86","-7.86","14.17","12.82"
"1674655423.624","10.86","-7.85","14.17","12.81"
"1674655423.684","10.86","-7.84","14.17","12.81"
"1674655423.744","10.86","-7.83","14.17","12.81"
"1674655423.804","10.86","-7.82","14.16","12.81"
"1674655423.864","10.86","-7.81","14.16","12.81"
"1674655423.924","10.86","-7.81","14.16","12.81"
"1674655423.984","10.86","-7.80","14.16","12.81"
"1674655424.044","10.85","-7.79","14.16","12.81"
"1674655424.104","10.85","-7.78","14.16","12.80"
"1674655424.164","10.85","-7.77","14.16","12.80"
"1674655424.224","10.85","-7.77","14.16","12.80"
"1674655424.284","10.85","-7.76","14.15","12.80"
"1674655424.344","10.85","-7.75","14.15","12.80"
"1674655424.404","10.85","-7.74","14.15","12.80"
"1674655424.464","10.85","-7.73","14.15","12.80"
"1674655424.524","10.84","-7.73","14.15","12.79"
"1674655424.584","10.84","-7.72","14.15","12.79"
"1674655424.644","10.84","-7.71","14.15","12.79"
"1674655424.704","10.84","-7.71","14.15","12.79"
"1674655424.764","10.84","-7.70","14.14","12.79"
"1674655424.824","10.84","-7.70","14.14","12.79"
"1674655424.884","10.84","-7.69","14.14","12.78"
"1674655424.944","10.84","-7.68","14.14","12.78"
"1674655425.004","10.83","-7.67","14.14","12.78"
"1674655425.064","10.83","-7.66","14.14","12.78"
"1674655425.124","10.83","-7.66","14.14","12.78"
"1674655425.184","10.83","-7.65","14.14","12.77"
"1674655425.244","10.83","-7.64","14.14","12.77"
"1674655425.304","10.83","-7.63","14.14","12.77"
"1674655425.364","10.83","-7.63","14.13","12.77"
"1674655425.424","10.83","-7.62","14.13","12.76"
"1674655425.484","10.83","-7.61","14.13","12.76"
"1674655425.544","10.82","-7.60","14.13","12.76"
"1674655425.604","10.82","-7.60","14.13","12.76"
"1674655425.664","10.82","-7.59","14.13","12.75"
"1674655425.724","10.82","-7.59","14.13","12.75"
"1674655425.784","10.82","-7.58","14.13","12.75"
"1674655425.844","10.82","-7.58","14.13","12.75"
"1674655425.904","10.82","-7.57","14.13","12.74"
"1674655425.964","10.82","-7.56","14.12","12.74"
"1674655426.024","10.82","-7.55","14.12","12.73"
"1674655426.084","10.81","-7.55","14.12","12.73"
"1674655426.144","10.81","-7.54","14.12","12.73"
"1674655426.204","10.81","-7.53","14.12","12.72"
"1674655426.264","10.81","-7.53","14.12","12.72"
"1674655426.324","10.81","-7.52","14.12","12.71"
"1674655426.384","10.81","-7.51","14.12","12.71"
"1674655426.444","10.81","-7.50","14.11","12.70"
"1674655426.504","10.80","-7.50","14.11","12.70"
"1674655426.564","10.80","-7.49","14.11","12.70"
"1674655426.624","10.80","-7.48","14.11","12.69"
"1674655426.684","10.80","-7.47","14.11","12.69"
"1674655426.744","10.80","-7.47","14.11","12.69"
"1674655426.804","10.80","-7.46","14.11","12.68"
"1674655426.864","10.80","-7.45","14.11","12.68"
"1674655426.924","10.80","-7.44","14.10","12.67"
"1674655426.984","10.80","-7.44","14.10","12.67"
"1674655427.044","10.79","-7.43","14.10","12.66"
"1674655427.104","10.79","-7.42","14.10","12.66"
"1674655427.164","10.79","-7.41","14.10","12.65"
"1674655427.224","10.79","-7.41","14.10","12.65"
"1674655427.284","10.79","-7.40","14.09","12.65"
"1674655427.344","10.79","-7.39","14.09","12.64"
"1674655427.404","10.79","-7.38","14.09","12.64"
"1674655427.464","10.79","-7.38","14.09","12.64"
"1674655427.524","10.78","-7.37","14.09","12.63"
"1674655427.584","10.78","-7.36","14.09","12.63"
"1674655427.644","10.78","-7.36","14.09","12.63"
"1674655427.704","10.78","-7.35","14.08","12.62"
"1674655427.764","10.78","-7.35","14.08","12.62"
"1674655427.824","10.78","-7.34","14.08","12.62"
"1674655427.884","10.78","-7.33","14.08","12.62"
"1674655427.944","10.78","-7.32","14.08","12.61"
"1674655428.004","10.78","-7.32","14.08","12.61"
"1674655428.064","10.78","-7.31","14.08","12.61"
"1674655428.124","10.77","-7.30","14.07","12.61"
"1674655428.184","10.77","-7.29","14.07","12.60"
"1674655428.244","10.77","-7.29","14.07","12.60"
"1674655428.304","10.77","-7.28","14.07","12.60"
"1674655428.364","10.77","-7.27","14.07","12.60"
"1674655428.424","10.77","-7.26","14.07","12.59"
"1674655428.484","10.77","-7.26","14.06","12.59"
"1674655428.544","10.77","-7.25","14.06","12.59"
"1674655428.604","10.76","-7.22","14.06","12.58"
"1674655428.664","10.76","-7.21","14.06","12.58"
"1674655428.724","10.76","-7.21","14.05","12.58"
"1674655428.784","10.76","-7.20","14.05","12.58"
"1674655428.844","10.76","-7.19","14.05","12.58"
"1674655428.904","10.76","-7.18","14.05","12.58"
"1674655428.964","10.75","-7.18","14.05","12.58"
"1674655429.024","10.75","-7.17","14.05","12.58"
"1674655429.084","10.75","-7.16","14.04","12.57"
"1674655429.144","10.75","-7.16","14.04","12.57"
"1674655429.204","10.75","-7.15","14.04","12.57"
"1674655429.264","10.75","-7.14","14.04","12.57"
"1674655429.324","10.75","-7.14","14.04","12.57"
"1674655429.384","10.75","-7.13","14.04","12.57"
"1674655429.444","10.75","-7.12","14.04","12.57"
"1674655429.504","10.74","-7.12","14.04","12.56"
"1674655429.564","10.74","-7.11","14.03","12.56"
"1674655429.624","10.74","-7.10","14.03","12.56"
"1674655429.684","10.74","-7.09","14.03","12.56"
"1674655429.744","10.74","-7.09","14.03","12.56"
"1674655429.804","10.74","-7.08","14.03","12.56"
"1674655429.864","10.74","-7.07","14.03","12.55"
"1674655429.924","10.74","-7.07","14.03","12.55"
"1674655429.984","10.73","-7.06","14.02","12.55"
"1674655430.044","10.73","-7.06","14.02","12.55"
"1674655430.104","10.73","-7.05","14.02","12.55"
"1674655430.164","10.73","-7.04","14.02","12.55"
"1674655430.224","10.73","-7.04","14.02","12.54"
"1674655430.284","10.73","-7.03","14.02","12.54"
"1674655430.344","10.73","-7.02","14.02","12.54"
"1674655430.404","10.73","-7.02","14.02","12.54"
"1674655430.464","10.73","-7.01","14.02","12.53"
"1674655430.524","10.72","-7.00","14.01","12.53"
"1674655430.584","10.72","-7.00","14.01","12.53"
"1674655430.644","10.72","-6.99","14.01","12.53"
"1674655430.704","10.72","-6.99","14.01","12.53"
"1674655430.764","10.72","-6.98","14.01","12.52"
"1674655430.824","10.72","-6.98","14.01","12.52"
"1674655430.884","10.72","-6.97","14.01","12.52"
"1674655430.944","10.72","-6.97","14.01","12.51"
"1674655431.004","10.72","-6.96","14.00","12.51"
"1674655431.064","10.72","-6.95","14.00","12.51"
"1674655431.124","10.71","-6.95","14.00","12.51"
"1674655431.184","10.71","-6.94","14.00","12.50"
"1674655431.244","10.71","-6.93","14.00","12.50"
"1674655431.304","10.71","-6.93","14.00","12.50"
"1674655431.364","10.71","-6.92","14.00","12.49"
"1674655431.424","10.71","-6.91","14.00","12.49"
"1674655431.484","10.71","-6.91","14.00","12.49"
"1674655431.544","10.70","-6.90","13.99","12.48"
"1674655431.604","10.70","-6.90","13.99","12.48"
"1674655431.664","10.70","-6.89","13.99","12.48"
"1674655431.724","10.70","-6.89","13.99","12.47"
"1674655431.784","10.70","-6.88","13.99","12.47"
"1674655431.844","10.70","-6.88","13.99","12.47"
"1674655431.904","10.70","-6.87","13.99","12.47"
"1674655431.964","10.70","-6.86","13.99","12.46"
"1674655432.024","10.70","-6.86","13.99","12.46"
"1674655432.084","10.69","-6.85","13.98","12.45"
"1674655432.144","10.69","-6.84","13.98","12.45"
"1674655432.204","10.69","-6.84","13.98","12.45"
"1674655432.264","10.69","-6.83","13.98","12.44"
"1674655432.324","10.69","-6.82","13.98","12.44"
"1674655432.384","10.68","-6.82","13.98","12.44"
"1674655432.444","10.68","-6.81","13.98","12.43"
"1674655432.504","10.68","-6.80","13.98","12.43"
"1674655432.564","10.68","-6.79","13.97","12.43"
"1674655432.624","10.68","-6.79","13.97","12.42"
"1674655432.684","10.68","-6.78","13.97","12.42"
"1674655432.744","10.67","-6.77","13.97","12.42"
"1674655432.804","10.67","-6.77","13.97","12.42"
"1674655432.864","10.67","-6.76","13.97","12.41"
"1674655432.924","10.67","-6.75","13.97","12.41"
"1674655432.984","10.67","-6.75","13.96","12.41"
"1674655433.044","10.67","-6.74","13.96","12.40"
"1674655433.104","10.67","-6.74","13.96","12.40"
"1674655433.164","10.66","-6.73","13.96","12.40"
"1674655433.224","10.66","-6.72","13.96","12.40"
"1674655433.284","10.66","-6.72","13.96","12.39"
"1674655433.344","10.66","-6.71","13.96","12.39"
"1674655433.404","10.66","-6.70","13.96","12.39"
"1674655433.464","10.66","-6.70","13.95","12.39"
"1674655433.524","10.66","-6.69","13.95","12.38"
"1674655433.584","10.66","-6.69","13.95","12.38"
"1674655433.644","10.65","-6.68","13.95","12.38"
"1674655433.704","10.65","-6.68","13.95","12.38"
"1674655433.764","10.65","-6.67","13.95","12.38"
"1674655433.824","10.65","-6.67","13.95","12.37"
"1674655433.884","10.65","-6.66","13.95","12.37"
"1674655433.944","10.65","-6.65","13.94","12.37"
"1674655434.004","10.65","-6.65","13.94","12.37"
"1674655434.064","10.65","-6.64","13.94","12.37"
"1674655434.124","10.65","-6.63","13.94","12.36"
"1674655434.184","10.64","-6.63","13.94","12.36"
"1674655434.244","10.64","-6.62","13.94","12.36"
"1674655434.304","10.64","-6.62","13.94","12.36"
"1674655434.364","10.64","-6.61","13.93","12.36"
"1674655434.424","10.64","-6.60","13.93","12.36"
"1674655434.484","10.64","-6.60","13.93","12.36"
"1674655434.544","10.64","-6.59","13.93","12.35"
"1674655434.604","10.63","-6.58","13.93","12.35"
"1674655434.664","10.63","-6.58","13.93","12.35"
"1674655434.724","10.63","-6.57","13.93","12.35"
"1674655434.784","10.63","-6.57","13.93","12.35"
"1674655434.844","10.63","-6.56","13.92","12.35"
"1674655434.904","10.63","-6.56","13.92","12.35"
"1674655434.964","10.63","-6.55","13.92","12.35"
"1674655435.024","10.63","-6.55","13.92","12.34"
"1674655435.084","10.63","-6.54","13.92","12.34"
"1674655435.144","10.62","-6.53","13.92","12.34"
"1674655435.204","10.62","-6.53","13.92","12.34"
"1674655435.264","10.62","-6.52","13.92","12.34"
"1674655435.324","10.62","-6.52","13.91","12.34"
"1674655435.384","10.62","-6.51","13.91","12.34"
"1674655435.444","10.62","-6.50","13.91","12.34"
"1674655435.504","10.62","-6.50","13.91","12.33"
"1674655435.564","10.62","-6.49","13.91","12.33"
"1674655435.624","10.61","-6.46","13.90","12.33"
"1674655435.684","10.61","-6.46","13.90","12.32"
"1674655435.744","10.61","-6.45","13.90","12.32"
"1674655435.804","10.61","-6.45","13.90","12.32"
"1674655435.864","10.60","-6.44","13.90","12.32"
"1674655435.924","10.60","-6.43","13.90","12.32"
"1674655435.984","10.60","-6.43","13.90","12.32"
"1674655436.044","10.60","-6.42","13.90","12.31"
"1674655436.104","10.60","-6.42","13.90","12.31"
"1674655436.164","10.60","-6.41","13.89","12.31"
"1674655436.224","10.60","-6.41","13.89","12.31"
"1674655436.284","10.60","-6.40","13.89","12.30"
"1674655436.344","10.59","-6.39","13.89","12.30"
